Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
Best City Homes,,2216,South Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,2216 South Street,19146,philadelphia,PA
Amazon Hub + Locker,,2306,South Street,"Philadelphia, PA 19146",,,,,Service (Mail Pick-up),,,,,,,,2306 South Street,19146,philadelphia,PA
Hudson James Homes,,2314,South Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,2314 South Street,19146,philadelphia,PA
Agent PHL,,2314,South Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,2314 South Street,19146,philadelphia,PA
Ellen Schwartz & Jeremy Siegel Early Childhood Education Center,,2501,South Street,"Philadelphia, PA 19146",,,,,School / Educational / Day Care,,,,,,,,2501 South Street,19146,philadelphia,PA
O'Conner Pool,,2601,South Street,"Philadelphia, PA 19146",,,,,Park / Recreation (Pool),,,,,,,,2601 South Street,19146,philadelphia,PA
CHOP- The Roberts Center for Pediatric Research,,2716,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,2716 South Street,19146,philadelphia,PA
PetSmart,,1415,Washington Avenue,"Philadelphia, PA 19146",,,,,Pet Services,,,,,,,,1415 Washington Avenue,19146,philadelphia,PA
Hung Long Communications,,1601,Washington Avenue,"Philadelphia, PA 19146",,,,,Services (Cell phone),,,,,,,,1601 Washington Avenue,19146,philadelphia,PA
A&T Business Services,,1601,Washington Avenue,"Philadelphia, PA 19146",,,,,Services (Taxes),,,,,,,,1601 Washington Avenue,19146,philadelphia,PA
Saigon + Travel,,1601,Washington Avenue,"Philadelphia, PA 19146",,,,,Travel,,,,,,,,1601 Washington Avenue,19146,philadelphia,PA
Allstate - Sonny Tran,,1625,Washington Avenue,"Philadelphia, PA 19146",,,,,Services (Insurance),,,,,,,,1625 Washington Avenue,19146,philadelphia,PA
TeleStar Wireless,,1635,Washington Avenue,"Philadelphia, PA 19146",,,,,Services (Cell phone),,,,,,,,1635 Washington Avenue,19146,philadelphia,PA
Basil's Auto Body,,1645,Washington Avenue,"Philadelphia, PA 19146",,,,,Automotive / Car Services,,,,,,,,1645 Washington Avenue,19146,philadelphia,PA
GRACE & PEACE COMMUNITY CHURCH,,1701,Washington Avenue,"Philadelphia, PA 19146",,,,,House of worship,,,,,,,,1701 Washington Avenue,19146,philadelphia,PA
Homique,,1709,Washington Avenue,"Philadelphia, PA 19146",,,,,Home furnishings (Furniture),,,,,,,,1709 Washington Avenue,19146,philadelphia,PA
Falcone's Interior,,1714,Washington Avenue,"Philadelphia, PA 19146",,,,,Home furnishings (Furniture),,,,,,,,1714 Washington Avenue,19146,philadelphia,PA
ALLURE Window Treatments,,1714,Washington Avenue,"Philadelphia, PA 19146",,,,,Home furnishings (Windows),,,,,,,,1714 Washington Avenue,19146,philadelphia,PA
LITTLE SHEPARDS CHRISTIANS LEARNING CENTER INC,,1719,Washington Avenue,"Philadelphia, PA 19146",,,,,Child Care,,,,,,,,1719 Washington Avenue,19146,philadelphia,PA
AUTOZONE ,,1730,Washington Avenue,"Philadelphia, PA 19146",,,,,Automotive / Car Services,,,,,,,,1730 Washington Avenue,19146,philadelphia,PA
Maytag Laundromat,,1801,Washington Avenue,"Philadelphia, PA 19146",,,,,Laundromat,,,,,,,,1801 Washington Avenue,19146,philadelphia,PA
Cellular Express & Repair,,1801,Washington Avenue,"Philadelphia, PA 19146",,,,,Services (Cell phone),,,,,,,,1801 Washington Avenue,19146,philadelphia,PA
Chew Playground,,1820,Washington Avenue,"Philadelphia, PA 19146",,,,,Park / Recreation,,,,,,,,1820 Washington Avenue,19146,philadelphia,PA
OCF Realty,,1936,Washington Avenue,"Philadelphia, PA 19146",,,,,Real Estate,,,,,,,,1936 Washington Avenue,19146,philadelphia,PA
NEXTFAB STUDIOS LLC,,2025,Washington Avenue,"Philadelphia, PA 19146",,,,,Services (Material Work / Educational),,,,,,,,2025 Washington Avenue,19146,philadelphia,PA
CALIBER Collision,,2052,Washington Avenue,"Philadelphia, PA 19146",,,,,Automotive / Car Services,,,,,,,,2052 Washington Avenue,19146,philadelphia,PA
Exyn Technologies,,2118,Washington Avenue,"Philadelphia, PA 19146",,,,,R&D (UAS),,,,,,,,2118 Washington Avenue,19146,philadelphia,PA
EXTRA SPACE STORAGE MGMT INC,,2300,Washington Avenue,"Philadelphia, PA 19146",,,,,Storage,,,,,,,,2300 Washington Avenue,19146,philadelphia,PA
Streamline,,2301,Washington Avenue,"Philadelphia, PA 19146",,,,,Real estate,,,,,,,,2301 Washington Avenue,19146,philadelphia,PA
S&F Auto Detailing,,2427,Washington Avenue,"Philadelphia, PA 19146",215-605-1885,,,,Automotive / Car Services,,,,,,,,2427 Washington Avenue,19146,philadelphia,PA
KX AUTO LLC,,2429,Washington Avenue,"Philadelphia, PA 19146",267-324-5784,,,,Automotive / Car Services,,,,,,,,2429 Washington Avenue,19146,philadelphia,PA
A ONE AUTO SALES & REPAIR,,2433,Washington Avenue,"Philadelphia, PA 19146",,,,,Automotive / Car Services,,,,,,,,2433 Washington Avenue,19146,philadelphia,PA
Z Dog: Philly's Pet Care,,2617,Washington Avenue,"Philadelphia, PA 19146",,,,,Pet Services,,,,,,,,2617 Washington Avenue,19146,philadelphia,PA
